wl,FSS99,FSS80,FSS60,FSS40,FSS20,FSS10,FSS5,FSS2
438,0.93304523,0.79544824,0.63393819,0.51018309,0.10183859,0.056322721,0.014726481,0.027550821
439,0.93227717,0.79527152,0.63422618,0.51042057,0.10168045,0.056295894,0.014543795,0.027598104
440,0.93205091,0.79576496,0.63483483,0.51108586,0.10152030,0.056169573,0.014485395,0.027634730
441,0.93224864,0.79589289,0.63571660,0.5116903,0.1016391,0.0562494,0.014538322,0.027800657
442,0.93206861,0.79594131,0.63636274,0.51200560,0.1018299,0.056295058,0.014613195,0.02790342
443,0.93216391,0.79628827,0.63682075,0.5126469,0.1020061,0.056282584,0.014607688,0.027896246
444,0.93249552,0.79618129,0.63713485,0.51256379,0.10205014,0.056295208,0.014649693,0.027912956
445,0.93251959,0.79624499,0.63704399,0.5128680,0.10212053,0.056345787,0.014701978,0.027949272
446,0.9327926,0.79678428,0.63751464,0.51376309,0.10227921,0.05653888,0.014811515,0.028146403
447,0.93365000,0.79743223,0.63799688,0.51411270,0.10233573,0.056664117,0.014925224,0.028288430
448,0.93386227,0.79766674,0.63830824,0.51460137,0.10246384,0.056679344,0.014948504,0.028333719
449,0.93361219,0.79745723,0.63836106,0.51419784,0.10264539,0.056698699,0.015034453,0.028383944
450,0.93329344,0.79667464,0.63807056,0.513544,0.10257347,0.056540519,0.014985510,0.028301901
451,0.93221129,0.79556859,0.63753385,0.5131655,0.10262490,0.05652412,0.014970070,0.028284581
452,0.93214310,0.79532460,0.63698558,0.51266244,0.10257035,0.056502317,0.014971081,0.028265362
453,0.93243650,0.79520038,0.63718228,0.51283613,0.10241342,0.056462201,0.014886943,0.02821936
454,0.93247108,0.79533604,0.63641020,0.5124562,0.10236985,0.056546566,0.01486481,0.028253017
455,0.93314812,0.7955988,0.63631964,0.51197777,0.10239335,0.056510051,0.014809086,0.028298336
456,0.93281348,0.79541903,0.63633388,0.5120149,0.10235141,0.056506182,0.014706629,0.0282716
457,0.93258856,0.79571686,0.63630481,0.51206052,0.10219804,0.05644101,0.014642192,0.028208234
458,0.93337605,0.79673527,0.63738424,0.51321317,0.10232600,0.056499253,0.014680378,0.028269556
459,0.93389478,0.79784447,0.63802417,0.51429384,0.10245448,0.056642675,0.014772704,0.02840438
460,0.93475781,0.79865482,0.63885171,0.5152699,0.10278351,0.056860045,0.01499804,0.028686526
461,0.93531311,0.79909002,0.63885949,0.51543601,0.10288141,0.056911863,0.015027768,0.02869212
462,0.93517362,0.79862500,0.63801463,0.51443943,0.10282306,0.05690462,0.015184437,0.028674147
463,0.93412372,0.79736142,0.63698972,0.51342414,0.10272950,0.056848171,0.015279388,0.028562839
464,0.93342644,0.79651002,0.6355692,0.51213907,0.10238489,0.056684465,0.01516333,0.028367299
465,0.93251024,0.79561236,0.63487950,0.51150202,0.1024725,0.056826721,0.015284016,0.028496723
466,0.93275092,0.79555531,0.63502750,0.5117429,0.10246249,0.056811335,0.015138771,0.028551053
467,0.93346119,0.79549466,0.63498040,0.51165166,0.10262174,0.056918126,0.015167059,0.028677633
468,0.93344305,0.7954064,0.63468058,0.51144616,0.10265732,0.056914408,0.015178098,0.028802000
469,0.93381411,0.79510764,0.63500985,0.51141036,0.10255625,0.056811803,0.015000025,0.028878177
470,0.93361518,0.79427484,0.634765,0.51084961,0.10251582,0.056773300,0.014922343,0.028827251
471,0.93389592,0.79446312,0.6346793,0.51098156,0.10234746,0.056493359,0.014739901,0.028654419
472,0.93478731,0.79506556,0.63448614,0.51101050,0.1026391,0.056629819,0.014813421,0.028687446
473,0.934128,0.79491201,0.63469543,0.51167324,0.10274868,0.056770798,0.014960095,0.028827932
474,0.93442727,0.7954259,0.63451367,0.51206112,0.10286667,0.05683248,0.015049623,0.028905072
475,0.93461385,0.79564766,0.63462270,0.5118474,0.10294625,0.056856540,0.015056425,0.028947611
476,0.93373569,0.79512676,0.63540448,0.51199468,0.10292237,0.056728398,0.015067579,0.028782340
477,0.93401465,0.79568074,0.63543429,0.51177141,0.10296851,0.056600706,0.015039854,0.028574797
478,0.9334279,0.79539635,0.63608624,0.51216535,0.10291061,0.056663996,0.015044316,0.028577409
479,0.93289845,0.79484127,0.63667361,0.51251538,0.10292572,0.056811231,0.015080843,0.028675866
480,0.93295565,0.79513691,0.63728999,0.5130616,0.1026551,0.056742284,0.014988094,0.028826787
481,0.93525859,0.79925184,0.64077997,0.51633803,0.10310593,0.056930764,0.015070051,0.029060860
482,0.94590212,0.82516612,0.66869817,0.5408340,0.10796821,0.059574631,0.016063822,0.03066068
