wl,uR,B,G,R
576,3.18604258185169E-06,0.000339133356212,0.005831764346219,0.004840356978957
577,5.51392109524838E-06,0.000317230808432,0.005650128730925,0.005850282922854
578,7.84179960864508E-06,0.000295328260651,0.005468493115631,0.006860208866751
579,1.01696781220418E-05,0.000273425712871,0.005286857500337,0.007870134810648
580,1.24975566354385E-05,0.00025152316509,0.005105221885043,0.008880060754545
581,8.98254236704645E-06,0.000249299324985,0.004945409966414,0.009707760597605
582,5.46752809865444E-06,0.00024707548488,0.004785598047785,0.010535460440665
583,1.95251383026242E-06,0.000244851644776,0.004625786129156,0.011363160283725
584,-1.56250043812959E-06,0.000242627804671,0.004465974210527,0.012190860126786
585,-5.0775147065216E-06,0.000240403964566,0.004306162291898,0.013018559969846
586,-3.33838810882358E-06,0.000218139349634,0.004145196446512,0.013269113289796
587,-1.59926151112557E-06,0.000195874734702,0.003984230601127,0.013519666609747
588,1.39865086572451E-07,0.00017361011977,0.003823264755741,0.013770219929698
589,1.87899168427047E-06,0.000151345504838,0.003662298910356,0.014020773249649
590,3.61811828196849E-06,0.000129080889906,0.003501333064971,0.014271326569599
591,7.91623816359677E-07,0.000125344522279,0.003338485632052,0.014213678894852
592,-2.03487064924913E-06,0.000121608154652,0.003175638199134,0.014156031220105
593,-4.86136511485794E-06,0.000117871787024,0.003012790766215,0.014098383545358
594,-7.68785958046675E-06,0.000114135419397,0.002849943333297,0.014040735870611
595,-1.05143540460756E-05,0.00011039905177,0.002687095900378,0.013983088195864
596,-8.00117074693402E-06,0.000119749063748,0.00256709660858,0.01385348490438
597,-5.48798744779248E-06,0.000129099075727,0.002447097316782,0.013723881612895
598,-2.97480414865093E-06,0.000138449087705,0.002327098024984,0.01359427832141
599,-4.61620849509386E-07,0.000147799099684,0.002207098733186,0.013464675029925
600,2.05156244963216E-06,0.000157149111662,0.002087099441388,0.013335071738441
601,1.83429858932596E-06,0.000147532547566,0.001969277113225,0.013143956629137
602,1.61703472901975E-06,0.00013791598347,0.001851454785063,0.012952841519834
603,1.39977086871355E-06,0.000128299419373,0.0017336324569,0.01276172641053
604,1.18250700840735E-06,0.000118682855277,0.001615810128738,0.012570611301227
605,9.65243148101151E-07,0.00010906629118,0.001497987800575,0.012379496191923
606,-5.42368552572902E-07,9.37212599326515E-05,0.001414219063434,0.012113758239186
607,-2.04998025324695E-06,7.83762286849346E-05,0.001330450326293,0.011848020286449
608,-3.55759195392101E-06,6.30311974372176E-05,0.001246681589152,0.011582282333712
609,-5.06520365459506E-06,4.76861661895006E-05,0.001162912852011,0.011316544380975
610,-6.57281535526911E-06,3.23411349417836E-05,0.00107914411487,0.011050806428237
611,-3.59468939860612E-06,3.57303536763028E-05,0.001027644840464,0.010876201149191
612,-6.16563441943123E-07,3.9119572410822E-05,0.000976145566058,0.010701595870145
613,2.36156251471987E-06,4.25087911453412E-05,0.000924646291652,0.010526990591099
614,5.33968847138287E-06,4.58980098798604E-05,0.000873147017246,0.010352385312052
615,8.31781442804586E-06,4.92872286143796E-05,0.000821647742841,0.010177780033006
616,7.41020354438109E-06,5.36641607556301E-05,0.000781651485586,0.009939880416115
617,6.50259266071632E-06,5.80410928968806E-05,0.000741655228332,0.009701980799224
618,5.59498177705155E-06,6.24180250381311E-05,0.000701658971078,0.009464081182334
619,4.68737089338678E-06,6.67949571793817E-05,0.000661662713824,0.009226181565443
620,3.77976000972201E-06,7.11718893206322E-05,0.000621666456569,0.008988281948552
621,2.51006776104044E-06,6.20669568539184E-05,0.000593298757222,0.008761998609282
622,1.24037551235887E-06,5.29620243872047E-05,0.000564931057874,0.008535715270013
623,-2.93167363226941E-08,4.38570919204909E-05,0.000536563358527,0.008309431930744
624,-1.29900898500426E-06,3.47521594537771E-05,0.000508195659179,0.008083148591474
625,-2.56870123368583E-06,2.56472269870633E-05,0.000479827959831,0.007856865252205
626,-3.17350915252464E-06,3.46297045177577E-05,0.00046342646555,0.00767173926466
627,-3.77831707136344E-06,4.3612182048452E-05,0.000447024971268,0.007486613277116
628,-4.38312499020225E-06,5.25946595791463E-05,0.000430623476986,0.007301487289572
629,-4.98793290904105E-06,6.15771371098406E-05,0.000414221982705,0.007116361302027
630,-5.59274082787986E-06,7.0559614640535E-05,0.000397820488423,0.006931235314483
631,-3.08694700659326E-06,7.13284194881692E-05,0.00037501937589,0.006736735095956
632,-5.81153185306665E-07,7.20972243358035E-05,0.000352218263358,0.006542234877429
633,1.92464063597993E-06,7.28660291834377E-05,0.000329417150825,0.006347734658901
634,4.43043445726653E-06,7.3634834031072E-05,0.000306616038292,0.006153234440374
635,6.93622827855312E-06,7.44036388787062E-05,0.000283814925759,0.005958734221847
636,6.6714764249799E-06,7.71685332875612E-05,0.000277435053969,0.005811446617476
637,6.40672457140669E-06,7.99334276964162E-05,0.00027105518218,0.005664159013105
638,6.14197271783347E-06,8.26983221052712E-05,0.00026467531039,0.005516871408735
639,5.87722086426025E-06,8.54632165141263E-05,0.0002582954386,0.005369583804364
640,5.61246901068703E-06,8.82281109229813E-05,0.000251915566811,0.005222296199993
641,8.13580775624686E-06,7.89942998396212E-05,0.000238614001355,0.005039472235308
